(1, 2, 0)['XI', 'XY', 'IY']['YI', 'IY', 'YY']0.9400634765625
(1, 2, 0)['IY', 'ZY', 'ZI']['YI', 'IY', 'YY']0.9423828125
(1, 2, 0)['ZI', 'IZ', 'ZZ']['XZ', 'XI', 'IZ']0.9410400390625
(1, 2, 0)['ZI', 'IZ', 'ZZ']['IZ', 'YZ', 'YI']0.9530029296875
(1, 2, 0)['XZ', 'XI', 'IZ']['IZ', 'YZ', 'YI']0.872314453125
(1, 2, 0)['XI', 'XY', 'IY']['XX', 'IX', 'XI']0.7821044921875
(1, 2, 0)['XI', 'XY', 'IY']['XZ', 'XI', 'IZ']0.9207763671875
(1, 2, 0)['XX', 'IX', 'XI']['XZ', 'XI', 'IZ']0.7864990234375
(1, 2, 0)['XX', 'IX', 'XI']['ZZ', 'YY', 'XX']0.5369873046875
(1, 2, 0)['XX', 'IX', 'XI']['YZ', 'XX', 'ZY']0.7042236328125
(1, 2, 0)['ZZ', 'YY', 'XX']['YZ', 'XX', 'ZY']0.40576171875
(1, 2, 0)['XI', 'XY', 'IY']['YX', 'ZZ', 'XY']0.7451171875
(1, 2, 0)['XI', 'XY', 'IY']['XY', 'ZX', 'YZ']0.8680419921875
(1, 2, 0)['YX', 'ZZ', 'XY']['XY', 'ZX', 'YZ']0.691162109375
(1, 2, 0)['XZ', 'XI', 'IZ']['YY', 'XZ', 'ZX']0.672607421875
(1, 2, 0)['XZ', 'XI', 'IZ']['ZY', 'YX', 'XZ']0.5440673828125
(1, 2, 0)['YY', 'XZ', 'ZX']['ZY', 'YX', 'XZ']0.5582275390625
(1, 2, 0)['YI', 'IY', 'YY']['IX', 'YI', 'YX']0.9248046875
(1, 2, 0)['YI', 'IY', 'YY']['IZ', 'YZ', 'YI']0.9088134765625
(1, 2, 0)['IX', 'YI', 'YX']['IZ', 'YZ', 'YI']0.9091796875
(1, 2, 0)['YX', 'ZZ', 'XY']['IX', 'YI', 'YX']0.7806396484375
(1, 2, 0)['YX', 'ZZ', 'XY']['ZY', 'YX', 'XZ']0.6549072265625
(1, 2, 0)['IX', 'YI', 'YX']['ZY', 'YX', 'XZ']0.275390625
(1, 2, 0)['ZZ', 'YY', 'XX']['YI', 'IY', 'YY']0.8043212890625
(1, 2, 0)['ZZ', 'YY', 'XX']['YY', 'XZ', 'ZX']0.5048828125
(1, 2, 0)['YI', 'IY', 'YY']['YY', 'XZ', 'ZX']0.837646484375
(1, 2, 0)['YZ', 'XX', 'ZY']['XY', 'ZX', 'YZ']0.4635009765625
(1, 2, 0)['YZ', 'XX', 'ZY']['IZ', 'YZ', 'YI']0.634033203125
(1, 2, 0)['XY', 'ZX', 'YZ']['IZ', 'YZ', 'YI']0.855712890625
(1, 2, 0)['ZI', 'IZ', 'ZZ']['IY', 'ZY', 'ZI']0.9395751953125
(1, 2, 0)['ZI', 'IZ', 'ZZ']['ZX', 'ZI', 'IX']0.9285888671875
(1, 2, 0)['IY', 'ZY', 'ZI']['ZX', 'ZI', 'IX']0.9017333984375
(1, 2, 0)['ZX', 'ZI', 'IX']['XY', 'ZX', 'YZ']0.6663818359375
(1, 2, 0)['ZX', 'ZI', 'IX']['YY', 'XZ', 'ZX']0.7908935546875
(1, 2, 0)['XY', 'ZX', 'YZ']['YY', 'XZ', 'ZX']0.6343994140625
(1, 2, 0)['ZX', 'ZI', 'IX']['XY', 'ZX', 'YZ']0.8282470703125
(1, 2, 0)['ZX', 'ZI', 'IX']['YY', 'XZ', 'ZX']0.759765625
(1, 2, 0)['XY', 'ZX', 'YZ']['YY', 'XZ', 'ZX']0.7301025390625
(1, 2, 0)['IY', 'ZY', 'ZI']['YZ', 'XX', 'ZY']0.8463134765625
(1, 2, 0)['IY', 'ZY', 'ZI']['ZY', 'YX', 'XZ']0.8848876953125
(1, 2, 0)['YZ', 'XX', 'ZY']['ZY', 'YX', 'XZ']0.7657470703125
(2, 0, 1)['IX', 'XI', 'XX']['ZI', 'IX', 'ZX']0.939453125
(2, 0, 1)['IX', 'XI', 'XX']['YI', 'YX', 'IX']0.9053955078125
(2, 0, 1)['ZI', 'IX', 'ZX']['YI', 'YX', 'IX']0.9488525390625
(2, 0, 1)['XY', 'IY', 'XI']['ZY', 'ZI', 'IY']0.880859375
(2, 0, 1)['XY', 'IY', 'XI']['IY', 'YY', 'YI']0.8861083984375
(2, 0, 1)['ZY', 'ZI', 'IY']['IY', 'YY', 'YI']0.9139404296875
(2, 0, 1)['IZ', 'ZZ', 'ZI']['XI', 'IZ', 'XZ']0.94482421875
(2, 0, 1)['IZ', 'ZZ', 'ZI']['YZ', 'YI', 'IZ']0.8953857421875
(2, 0, 1)['XI', 'IZ', 'XZ']['YZ', 'YI', 'IZ']0.8948974609375
(2, 0, 1)['XY', 'IY', 'XI']['IX', 'XI', 'XX']0.826416015625
(2, 0, 1)['XY', 'IY', 'XI']['XI', 'IZ', 'XZ']0.8829345703125
(2, 0, 1)['IX', 'XI', 'XX']['XI', 'IZ', 'XZ']0.9549560546875
(2, 0, 1)['IX', 'XI', 'XX']['YY', 'XX', 'ZZ']0.765625
(2, 0, 1)['IX', 'XI', 'XX']['XX', 'ZY', 'YZ']0.8748779296875
(2, 0, 1)['YY', 'XX', 'ZZ']['XX', 'ZY', 'YZ']0.837646484375
(2, 0, 1)['XY', 'IY', 'XI']['ZZ', 'XY', 'YX']0.520263671875
(2, 0, 1)['XY', 'IY', 'XI']['ZX', 'YZ', 'XY']0.52099609375
(2, 0, 1)['ZZ', 'XY', 'YX']['ZX', 'YZ', 'XY']0.6065673828125
(2, 0, 1)['XI', 'IZ', 'XZ']['XZ', 'ZX', 'YY']0.89501953125
(2, 0, 1)['XI', 'IZ', 'XZ']['YX', 'XZ', 'ZY']0.874267578125
(2, 0, 1)['XZ', 'ZX', 'YY']['YX', 'XZ', 'ZY']0.8623046875
(2, 0, 1)['IY', 'YY', 'YI']['YI', 'YX', 'IX']0.92236328125
(2, 0, 1)['IY', 'YY', 'YI']['YZ', 'YI', 'IZ']0.889892578125
(2, 0, 1)['YI', 'YX', 'IX']['YZ', 'YI', 'IZ']0.9044189453125
(2, 0, 1)['ZZ', 'XY', 'YX']['YI', 'YX', 'IX']0.7103271484375
(2, 0, 1)['ZZ', 'XY', 'YX']['YX', 'XZ', 'ZY']0.687255859375
(2, 0, 1)['YI', 'YX', 'IX']['YX', 'XZ', 'ZY']0.886474609375
(2, 0, 1)['YY', 'XX', 'ZZ']['IY', 'YY', 'YI']0.8419189453125
(2, 0, 1)['YY', 'XX', 'ZZ']['XZ', 'ZX', 'YY']0.74658203125
(2, 0, 1)['IY', 'YY', 'YI']['XZ', 'ZX', 'YY']0.56640625
(2, 0, 1)['XX', 'ZY', 'YZ']['ZX', 'YZ', 'XY']0.5120849609375
(2, 0, 1)['XX', 'ZY', 'YZ']['YZ', 'YI', 'IZ']0.7296142578125
(2, 0, 1)['ZX', 'YZ', 'XY']['YZ', 'YI', 'IZ']0.79150390625
(2, 0, 1)['IZ', 'ZZ', 'ZI']['ZY', 'ZI', 'IY']0.91845703125
(2, 0, 1)['IZ', 'ZZ', 'ZI']['ZI', 'IX', 'ZX']0.91748046875
(2, 0, 1)['ZY', 'ZI', 'IY']['ZI', 'IX', 'ZX']0.909912109375
(2, 0, 1)['ZI', 'IX', 'ZX']['ZX', 'YZ', 'XY']0.8892822265625
(2, 0, 1)['ZI', 'IX', 'ZX']['XZ', 'ZX', 'YY']0.8291015625
(2, 0, 1)['ZX', 'YZ', 'XY']['XZ', 'ZX', 'YY']0.8310546875
(2, 0, 1)['ZY', 'ZI', 'IY']['XX', 'ZY', 'YZ']0.856689453125
(2, 0, 1)['ZY', 'ZI', 'IY']['YX', 'XZ', 'ZY']0.6444091796875
(2, 0, 1)['XX', 'ZY', 'YZ']['YX', 'XZ', 'ZY']0.701171875
(2, 0, 1)['YY', 'XX', 'ZZ']['IZ', 'ZZ', 'ZI']0.8233642578125
(2, 0, 1)['YY', 'XX', 'ZZ']['ZZ', 'XY', 'YX']0.8712158203125
(2, 0, 1)['IZ', 'ZZ', 'ZI']['ZZ', 'XY', 'YX']0.89697265625
(2, 1, 0)['IX', 'XX', 'XI']['ZI', 'ZX', 'IX']0.916748046875
(2, 1, 0)['IX', 'XX', 'XI']['YI', 'IX', 'YX']0.932373046875
(2, 1, 0)['ZI', 'ZX', 'IX']['YI', 'IX', 'YX']0.9285888671875
(2, 1, 0)['XY', 'XI', 'IY']['ZY', 'IY', 'ZI']0.8394775390625
(2, 1, 0)['XY', 'XI', 'IY']['IY', 'YI', 'YY']0.863037109375
(2, 1, 0)['ZY', 'IY', 'ZI']['IY', 'YI', 'YY']0.8330078125
(2, 1, 0)['IZ', 'ZI', 'ZZ']['XI', 'XZ', 'IZ']0.9051513671875
(2, 1, 0)['IZ', 'ZI', 'ZZ']['YZ', 'IZ', 'YI']0.90966796875
(2, 1, 0)['XI', 'XZ', 'IZ']['YZ', 'IZ', 'YI']0.8966064453125
(2, 1, 0)['XY', 'XI', 'IY']['IX', 'XX', 'XI']0.7791748046875
(2, 1, 0)['XY', 'XI', 'IY']['XI', 'XZ', 'IZ']0.9151611328125
(2, 1, 0)['IX', 'XX', 'XI']['XI', 'XZ', 'IZ']0.9095458984375
(2, 1, 0)['IX', 'XX', 'XI']['YY', 'ZZ', 'XX']0.769287109375
(2, 1, 0)['IX', 'XX', 'XI']['XX', 'YZ', 'ZY']0.7071533203125
(2, 1, 0)['YY', 'ZZ', 'XX']['XX', 'YZ', 'ZY']0.7847900390625
(2, 1, 0)['XY', 'XI', 'IY']['ZZ', 'YX', 'XY']0.73388671875
(2, 1, 0)['XY', 'XI', 'IY']['ZX', 'XY', 'YZ']0.6053466796875
(2, 1, 0)['ZZ', 'YX', 'XY']['ZX', 'XY', 'YZ']0.4215087890625
(2, 1, 0)['XI', 'XZ', 'IZ']['XZ', 'YY', 'ZX']0.733642578125
(2, 1, 0)['XI', 'XZ', 'IZ']['YX', 'ZY', 'XZ']0.8399658203125
(2, 1, 0)['XZ', 'YY', 'ZX']['YX', 'ZY', 'XZ']0.7386474609375
(2, 1, 0)['IY', 'YI', 'YY']['YI', 'IX', 'YX']0.92822265625
(2, 1, 0)['IY', 'YI', 'YY']['YZ', 'IZ', 'YI']0.7952880859375
(2, 1, 0)['YI', 'IX', 'YX']['YZ', 'IZ', 'YI']0.7567138671875
(2, 1, 0)['ZZ', 'YX', 'XY']['YI', 'IX', 'YX']0.359619140625
(2, 1, 0)['ZZ', 'YX', 'XY']['YX', 'ZY', 'XZ']0.4642333984375
(2, 1, 0)['YI', 'IX', 'YX']['YX', 'ZY', 'XZ']0.7880859375
(2, 1, 0)['YY', 'ZZ', 'XX']['IY', 'YI', 'YY']0.78759765625
(2, 1, 0)['YY', 'ZZ', 'XX']['XZ', 'YY', 'ZX']0.6453857421875
(2, 1, 0)['IY', 'YI', 'YY']['XZ', 'YY', 'ZX']0.671630859375
(2, 1, 0)['XX', 'YZ', 'ZY']['ZX', 'XY', 'YZ']0.73291015625
(2, 1, 0)['XX', 'YZ', 'ZY']['YZ', 'IZ', 'YI']0.7637939453125
(2, 1, 0)['ZX', 'XY', 'YZ']['YZ', 'IZ', 'YI']0.77734375
(2, 1, 0)['IZ', 'ZI', 'ZZ']['ZY', 'IY', 'ZI']0.923828125
(2, 1, 0)['IZ', 'ZI', 'ZZ']['ZI', 'ZX', 'IX']0.9501953125
(2, 1, 0)['ZY', 'IY', 'ZI']['ZI', 'ZX', 'IX']0.8828125
(2, 1, 0)['ZI', 'ZX', 'IX']['ZX', 'XY', 'YZ']0.9119873046875
(2, 1, 0)['ZI', 'ZX', 'IX']['XZ', 'YY', 'ZX']0.6949462890625
(2, 1, 0)['ZX', 'XY', 'YZ']['XZ', 'YY', 'ZX']0.703125
(2, 1, 0)['ZY', 'IY', 'ZI']['XX', 'YZ', 'ZY']0.79833984375
(2, 1, 0)['ZY', 'IY', 'ZI']['YX', 'ZY', 'XZ']0.703125
(2, 1, 0)['XX', 'YZ', 'ZY']['YX', 'ZY', 'XZ']0.56201171875
(2, 1, 0)['YY', 'ZZ', 'XX']['IZ', 'ZI', 'ZZ']0.8944091796875
(2, 1, 0)['YY', 'ZZ', 'XX']['ZZ', 'YX', 'XY']0.8699951171875
(2, 1, 0)['IZ', 'ZI', 'ZZ']['ZZ', 'YX', 'XY']0.8941650390625
